"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"masonsaul","7 July 2022","Thor: Love and Thunder does attempt to explore themes of love and loss whilst introducing the Mighty Thor and putting Thor on a journey of self discovery. However, it sadly doesn't work as well as it should due to a rushed pace and way too many jokes that are almost never funny.Chris Hemsworth is still going strong as Thor but the extreme goofiness is getting a little stale. Natalie Portman has never been better as this character and Tessa Thompson is still great as Valkyrie, even though she doesn't really get much to do.Taika Waititi massively overstays his welcome as Korg this time, who becomes very annoying really fast. Christian Bale is one of the better MCU villains with a good motivation and an unsettling presence but is let down by limited screen time.Takia's direction on the other hand is stronger, there's some nice visual imagery and the colour palette is pretty vibrant but the MCU grey is still present throughout sadly. The CG is consistently inconsistent from start to finish.The music by Michael Giacchino is fine, there's one new theme that's pretty memorable but the lack of Thor's theme is annoying. The soundtrack is really good, all the songs are classics that fit the tone and style well but some could have been used better.","
            6/10
            "
"blott2319-1","20 July 2022","I think most people thought it was a big mistake when Disney cut ties with Lord & Miller before they completed their Solo film. Now I'm not so sure. It's a little off-putting having a downright farcical movie in an established cinematic universe. Thor: Love and Thunder is about as grounded as a Naked Gun movie, but for some reason the comedy rarely hits for me, where I can enjoy it in an actual spoof. I was surprised, despite the nearly constant attempts at humor, the crowded theater I was in rarely did more than chuckle. If they're going to make a straight-up comedy then they need it to be more laugh-out-loud funny. Of course comedic taste is extremely subjective, so I'm sure some people enjoy laughing along. I just wish it was as effective as Taika Waititi's other films have been for me (including Thor Ragnarok.)The real problem with Thor: Love and Thunder is that it is so irreverent but they also try to tackle heavier topics. The film starts with the death of a child, it focuses on a major character dealing with cancer, and the villain is literally called ""the god butcher."" Going back to my comparison to The Naked Gun, it's like you are watching that film and the filmmakers expect you to feel bad about Nordberg almost getting killed. There is no weight to anything, and it undercuts any attempt at emotion. I'd be genuinely shocked if someone told me they shed a tear while watching this movie, even if the humor lets up at the big climactic moment, though it clearly is trying for some real heart-tugging. I can take a light-hearted movie in the MCU where nothing of vital importance happens, but there are some important plot points, and that's a problem.That's not the only problem with Thor: Love and Thunder, and I could probably go on a full tirade about many of the other issues. However, I will restrain myself and just hit each one like quick bullet points. The handing off of Mjolnir like a loyal pet kind of undermines the magic of the whole ""worthy"" thing established prior to this film. The quick shuffling off of the Guardians of the Galaxy is about as shoddy as Chris Pratt's hair in the film. The whole god convention sequence is atrocious and makes you feel like Gorr has the right idea. Thor has become as shallow and dumb as the version they featured on the What If show. The handing off of Thor's lightning powers to anyone at any time with any weapon makes him look rather selfish in prior films when they could have used a bit of extra help against someone like Thanos. The deus ex machina of the Eternity wish now makes previous plans of people like Thanos and even the Scarlet Witch feel over-complicated when all they needed was a quick trip with Stormbreaker. I'll stop there, but the really sad thing about all this is that it has taken less than 3 years for the MCU to go from a franchise where I couldn't bear to miss a single film, to a franchise where I might just skip out on some movies because the quality has dipped so dramatically.","
            3/10
            "
"rockingruby","7 July 2022","Christian Bale is great, Russell Crowe has a good moment, Hemsworth is good but this movie cannot be saved from a terrible script, bad direction and stupid humour that overstays its welcome.","
            2/10
            "
"ryrymadrid","9 July 2022","I'm a huge marvel fanboy, and hardly ever have anything bad to say to about the MCU, but this was a huge letdown. Ragnarok is easily one of my top 5 marvel films , so was very excited to see this one, but this was really really bad. It was boring as hell and none of the jokes landed for me. First time in a marvel movie I really wanted to leave or wished it would end already. Huge waste of Gorr the god butcher. And the whole Zeus and Olympus part were so cringe worthy. I don't know how this got made. It was garbage.","
            1/10
            "
"TakeUpReel","14 July 2022","...Well, maybe not SNL-esque throughout the full length of the movie, but most of the film was a (poorly delivered) ""comedy.""During the first scene, I wondered if I was in the right theater, because it had more of a serious tone than many of the other Marvel movies. Unfortunately, shortly after Gorr encountered his god, the seriousness tone disintegrated immediately and the movie launched into full ludicrous mode.I rolled my eyes too often. The ""jokes"" came zooming by too often. Guns & Roses music was used too often. The goats screamed (way) too often.There's too much that should have been shown, but occurred off screen. (Gorr killing various gods, for example). I often wanted more from the movie and also wanted the movie to end quickly at the same time.At one point, I thought...""I wish I was more tired, so I could take a short nap during this movie."" That's not good.I like Taika Waititi, but he needed to switch to decaf on this project. He turned the knob past 11 to 374, (Take that Spinal Tap).This movie was silly and stupid throughout the majority of its run time. Maybe watch this on TV when nothing else is on.","
            3/10
            "
"gy-att","10 July 2022","Movie is okay. Christian Bale is awesome, Chris still can't act, but we never liked him for his talent, rest of the cast brings what they have to the whole movie is an average Disney factory work, everyone knows their job and they execute is as they should. The story has too many silly jokes. I know Waititi's style, but now he feels like his own parody. Like those Scream parody Scary Movies.","
            5/10
            "
"lawrencelawrence86","8 July 2022","Fine seems to cover it, Disney has become fine, everything is fine. It has got to the point where if spending your time aimlessly going through your phone for 2+ hours or watching a marvel movie is a bigger waste of time.","
            5/10
            "
"PsychoBeard666","9 July 2022","I can't be bothered typing an essay so I'll sum up:Thor is reduced to a bumbling idiot to elevate Jane and Valkyrie.Horrible CGI.Jokes that don't land.A plot not worth caring about.Forgettable set pieces.Overuse of Guns N Roses.","
            4/10
            "
"mluinstra","13 July 2022","There are so many things wrong with this film, I'm not sure where to start. Bale was good, and Helmsworth did what he could with what he was given, but the script was just so bad.The screaming goats joke went on way too long. Thor's costume looked ridiculous. Valkyrie being made King, when she's a girl. I guess Queen wasn't good enough? Enough with the rock guy Korg. Korg also tells us a nice little story about how his dad met his other dad (sigh).Somehow Natalie getting cancer makes her worthy of mjolnir. Thor can now turn other people (including kids here) into other ""Thors"" (when did this happen?). Plus, Thor is a person, not a title to be bestowed onto others.Then a scene where Zeus removes Thor's clothes and has him naked in a great hall area filled with people. If this had been one of the women characters there would have been backlash. Thor was deconstructed in this movie basically becoming an idiot with powers, not The God of Thunder that he once was. Jane Thor has to save Thor obviously.I could go on, by why bother. You can see what they did here. Since Disney Phase 4, they have put out only crap (except maybe Mandolorian). They destroyed Star Wars, and now they killed the MCU. Impressive.","
            3/10
            "
"afatedcircle","8 July 2022","First off let's start by asking what gods Gorr the GOD BUTCHER actually butchered? Some off screen, one he killed that was far from butchering at the beginning of the movie, apparently cut off Sif's arm but at no point did he seem like this absolutely terrifying villain he should have been. Thor, Valkyrie and Jane never seemed afraid of him in the least. In fact, in the times they were captured they were never hurt, Thor just kept making wise cracks and in the battles Gorr never seemed to have an upper hand other than wounding Valkyrie who was apparently never even close to death. Christian Bale played the character wonderfully but the script was just bad.Now for the humor. There's so much of it that it isn't even humorous anymore. In fact, after the 4th joke in 60 seconds I found myself just going ""can we get on with the movie?"". Many of the jokes fell flat to the point I only heard a handful of people laughing now and then in the movie theater. The ""serious"" moments are interrupted by more joking. Jane telling Thor she has cancer has to be a serious moment right? Cut to Valkyrie and Korg making jokes and singing in the other room. Jane receiving chemo? Nope, ""funny"" moment of her tearing apart her own book to explain wormholes to another guy in the office. The screaming goats were funny the first time they screamed then it just got annoying.Why were the Guardians of the Galaxy in this movie? Starlord looked like a hobo and everyone else was just screaming to the point that it gave me a headache and then of course they brought the goats in.Nobody dies or comes close to dying to a villain in this movie and perhaps that's one of many reasons it wasn't enjoyable. None of the villains have seemed like villains in phase 4. Gorr was redeemed at the end after being beaten. Jane dies of cancer which was expected but then goes to Valhalla in the end credit scene so nothing seems ""final"".Thor steals Zeus' thunderbolt and ends up giving the power of Thor to kids in the movie temporarily...but he whispers it to the Thunderbolt so shouldn't it have been the power of Zeus? This was just one of so many plotholes in this movie. Eternity can grant any wish but uh....why didn't they use that to bring back those erased in the snap or Natasha.The best part of this movie was Thor arguing with Stormbreaker because of him being jealous of Mjolnir. They finally make up after Thor ""gives him a beer"" but then at the end of the movie he gives it to Gorr's resurrected daughter. It's just a small little arc there that went nowhere.Overall this movie was horrible. They tried to take Ragnarok's mix of humor and serious moments but ramped the humor up to 11 and it failed. The end says Thor will return and I hope he does, just with a different script writer and director.","
            3/10
            "
"FeastMode","8 July 2022","This review will come off as very negative, but I had a decent time, laughed a lot, and was fairly entertained. As a big-time MCU fan though, Love and Thunder is highly disappointing, even more so for an OG Avenger.For reference, I loved all of the previous Thor movies. Many people view the first two as bottom tier MCU but I think they're beastly and beautiful in a Shakespearian way, while also being funny and visually stunning. Then they went in a new direction with Ragnarok, and I was completely on board. I enjoyed the infusion of style and almost all of the humor works.Love and Thunder goes so far past Ragnarok in every way. So much of it doesn't work for me. So much of the humor is predictable and goofy, to the point of bordering on cartoonish. And there isn't nearly enough serious to balance out the comedy. Combine that with some odd decisions later in the movie and... it kind of feels like they're turning Thor into a joke.And don't get me started on a repeated joke involving two goats that made me think of Jar Jar. I didn't laugh the first time or the 20 times after.Other than the comedy, a lot of Love and Thunder doesn't feel fully natural. Something feels off. The action scenes aren't memorable. By comparison, Ragnarok has multiple action scenes that make my jaw drop. There are some beautiful shots, but not nearly as often as the artwork in the previous ones.But my biggest disappointment is the villain. I don't watch trailers and didn't know Christian Bale is in this movie. He is my favorite actor ever, and has been for the last 15 years. Even with all the amazing talent in this remarkable MCU cast list, IMO Bale stands out above them all. I was ecstatic...Until I realized he's barely in the movie. He gives a great performance, but the script does not flesh him out, does not explore his character, and in effect, turns him into another forgettable MCU villain. Wasting Bale like this is a horrendous decision...Especially after an amazing opening scene that made me think this movie might be on a different level. I can only imagine what could have been if 40% of the movie was dedicated to that character. I can only imagine how amazing it would have been if they treated the God Butcher like The Dark Knight treated Joker.Why couldn't they balance out the serious and the funny? A good example: Guardians 2 is so funny and can get pretty goofy, but it has tons of serious and emotionally powerful scenes. Another example: Deadpool 2 is primarily a comedy but has SO many emotional moments, some to the point of tears.IMO, Love and Thunder doesn't come close to the last two MCU movies (Multiverse of Madness and No Way Home). As it stands today, this is bottom 3 in the MCU for me.EDIT: I decided to give this another shot. Sometimes it's easier the second time without the hype and knowing what to expect. But I felt pretty much the same. I enjoyed a lot of it, but the stuff I disliked bothered me just as much.The two things that stood out to me the second time around, Bale's performance is amazing and they are idiots for underutilizing him. And the goats are the single worst thing in the entire MCU. Changing rating from 6 to 5 stars. (2 viewings, opening Thursday IMAX 7/7/2022, IMAX 7/20/2022)","
            5/10
            "
