"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Avengers: Infinity War","RJBrez","24 January 2021","Infinity War is remembered mostly for how it ends, with good reason. But for me, the entire movie is incredible. Action, humor, cinematography, heartbreak, etc. It was a culmination of 10 years of character development. The benefit of that hard work? The movie can start with incredible action and never let up. Most wouldn't agree because of the ending, but I feel it's the best movie of the MCU (so far). Endgame was awesome, infinity war was better. I think the best part of it was the fact that we had so many cool character meet ups that as fans we never thought we'd see. Thor with the guardians? Wow. Star Lord and Iron Man? Rocket and the winter soldier? We could go on and on. They also mastered the art of humor to help offset some deep deep hurt throughout the story. Thor and Star Lords interactions are pure gold. Thor calling Rocket ""rabbit"" pure gold. Dr Strange and Tony going toe to toe is worth the price of admission as well. I'm going to stop now or I could type forever.My only goal of writing this review is to help sway some others. Try to appreciate this movie for more than the gut wrenching ending. It's nonstop awesome from beginning to end. Enjoy!","
            10/10
            "
"Avengers: Infinity War","0U","23 February 2020","This movie portrays a villain that by far has been the best out of all the other Marvel antagonists. It shows his personal conflicts, his purpose, as well as his cruelty. The heroes of this film are overshadowed by this, but the ending really makes a mark on the audience.","
            9/10
            "
"Avengers: Infinity War","Alex_Lo","5 February 2021","A meticulously planned film down to the last detail, where you can see how much love is behind it. Of course, the film delivers impressive show values and action, but besides, it is above all the interactions of the characters that are well thought out. Surprisingly, no character is neglected, and all the storylines of the previous films are brought together amazingly logical. The end is for me one of the best cliffhangers of all time, after the movie I was whacked. In the end, I have to ask myself: What more do I expect from a comic book superhero film? I was perfectly happy, so I can also give a comic book adaptation 10 out of 10 stars.","
            10/10
            "
"Avengers: Infinity War","grztxks","14 March 2021","Infinity war is one of the best MCU protects. It has a great story, great acting, and awesome looking. If you aren't a Marvel fan or haven't watched most of the previous MCU movies this however, won't be something for you. Let's start with Thanos, definitely one of the best villains, he has a motive, is well played, you can even say that Infinity war tells his story and not the story of a hero. But also most of the other cast members were great in their role and again, if you love Marvel, watch this movie.","
            10/10
            "
"Avengers: Infinity War","uzair-36867","8 February 2021","This film is an achievement unto itself. Unlike any other marvel movie, this deserves to be praised for bringing around 25+ popular characters and putting them all in a cohesive narrative thats unlike anything that came before it.At least 20 movies filled with characters and storyline nuances were successfully kept intact here yet the main character was the villain that had barely had any screentime previously, yet was written in a way that you could empathise with him and tied him into prior events like the new york invasion.The movie itself is structured perfectly, from the perspective of Thanos putting him in a heroes journey making him go to different locations to collect the stones from different heroes weve come to know, and pairing different combinations of heroes in an insanely well written way so every character stood out and had an iconic moment to shine.All in all the scope of this film is beyond anything that has come before it and even more so than Endgame, but they kept the narrative grounded and paced it perfectly. And the ending of the movie is one of the best endings ever. The best superhero/ comic book film of all time after The Dark Knight.","
            10/10
            "
"Avengers: Infinity War","andreascaloni","16 February 2021","Avengers infinity war is an emotional roller coaster. Using the strength of its powerful and interesting villain, the movie successfully brings together the past 10 years of Marvel movies into a largely effective cocktail of super-heroic dramatics. Joe and Anthony Russo create a superhero movie that it's every bit the epic that it needs to be. However prepared you feel, you are not ready for Thanos. Infinity war is stunning, hilarious and heartbreaking.Rating: 9.6.","
            9/10
            "
"Avengers: Infinity War","Abdulxoxo","5 February 2021","Although this film has 'Avengers' in the title, it ultimately belongs to Thanos. It's his story that drives the whole plot. He is the main characters of this movie, not any of the heroes. Thanos in my opinion is the greatest villain the MCU has ever produced. as a character he is truly threatening. In most of these movies deep down I know the hero will always win. For the first time I wasn't sure if the hero would win or not. Through the movie's entirety I was on the edge of my seat wandering whether my favourite characters would actually make it out of the movie alive. To have a villain with that level of genuine threat I thought was fantastic. I also felt slightly conflicted by his motivations. On the face of it, planning to eliminate half the universe's population is obviously a bad thing; however, after we learn his motivations for wanting to do so, I'd be lying if I didn't say I understood where he was coming from. There are two tones at play in this movie. One of them is a comical tone, mostly coming from the Guardians, Thor and Spider-Man. Predominantly though this movie is dark. Because of the level of threat created by Thanos, there is an emotional aspect to this film that will take the viewer by surprise. There are plenty of large scale action sequences, which are amazing; but there are also some shocking moments that were difficult to deal with. What I can say is that, the running time of two and a half hours absolutely flew by.
Overall, Avengers: Infinity War did well in balancing the screen time among the characters in a way that every member of the Avengers get at least a moment to shine. There are also lots of great action, comedy, performances and a massive cliffhanger at the end that is well earned.","
            8/10
            "
"Avengers: Infinity War","lalit28595","27 July 2021","Infinity war seemed much better than endgame to be honest.","
            10/10
            "
"Avengers: Infinity War","Puroo","21 April 2021","It was only after the release of Infinity War that I got interest in MCU. Before that I wasn't very much into superhero movies. So a couple of months after this movie released, I skimmed through all the MCU movies from Iron Man to Black Panther. I didn't put much focus into watching them all, since most of them were just following one pattern. Iron Man? A guy gets superpowers, beats the bad guy who wanted to take over the world and saves the day. Captain America? A guy gets superpowers, beats the bad guy who wanted to take over the world and saves the day. Thor? A guy ""loses"" and then gets superpowers, beats the bad guy and saves the day. Even in The Avengers and Age of Ultron it's just ""now all those guys come together, beat the bad guy who wanted to take over the world and save the day"". But Avengers: Infinity War is very much different.The movie begins from where the post credit scene of Thor: Ragnarok ended. Loki dies in the very beginning of the movie while he was trying to unsuccessfully deceive Thanos. This clearly shows that this movie really means business. It's not afraid of killing off the characters we have grown to like in all these years. Thor's hammer has broken so he gets a Mjolnir. Meanwhile Iron Man's team faces Thanos in yet another very brutal attack. Captain America's team is able to get out of their imprisonment after the events of Captain America: Civil War. And in spite of having a huge threat looming before them, Captain America and Iron Man still feel guilty of what happened between them previously.Thanos is undoubtedly the biggest threat to have ever been shown in any Marvel movie, MCU or otherwise. Unlike the comics where he's just simping behind Death to show how many people he can kill, this time he actually has a motivation. And that motivation is so powerful he is even ready to sacrifice his own daughter for it. He has fought for many years to find the Infinity Stones, and there is no way that he will sacrifice his lifetime work over morals or ethics. Concepts like humanity, empathy, conscience don't hold him back anymore, as he was brought up by the Eternals and in spite of being treated as one of them, he chose to part ways. Mortals don't matter to him anymore. His ambition does.Every scene from this movie is shot very well. The story, the colour palette, the choreography, the costumes, the score, everything is absolutely perfect. The only part I had a problem with earlier was when Starlord learnt about Thanos having killed Gamora and then he punches Thanos till he wakes up and is stopped. But later on I realised that Starlord has always been an emotional crybaby, and this kind of a behaviour is absolutely suited on him. He cannot be expected to think rationally, considering his track record in both the previous Guardians of the Galaxy movies.And finally in the end when Thanos snapped his finger, half the universe was gone. Even though we did know that they are all going to come back, the emotions that were conveyed by the characters clearly gave signs that something bad will surely happen in the end. I won't be getting into the spoilers because I want to keep this review spoiler free. So if you haven't seen it yet, don't just see who all disappear. Notice how they react when they disappear.Avengers: Infinity War is the kind of the Avengers movie I always wanted to see. I really don't like how The Avengers and Age of Ultron have aged so terribly (just like Joss Whedon's credibility lol) because of how campy they look by today's standards. Sure they did hold their legacy back then, but Infinity War will hold it for decades. It's the best MCU movie of all time.","
            10/10
            "
"Avengers: Infinity War","muhammad-66903","7 January 2021","This is is the best marvel/avengers movie every minute is very great no cap.","
            10/10
            "
