"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"h7f3","24 February 2020","Thor is a film that takes risks - and they pay off wonderfully. The movie grounds itself in reality while keeping a mythological and fantasy-esqe tone, and it never loses sight of the humanity within the characters, with elevates this above standard superhero fare.","
            8/10
            "
"rparham","3 June 2011","In the pantheon of Marvel Superheroes, from my vantage point, Thor is a second-tier player. Even amongst non-obsessive comic aficionados, such as myself, Thor doesn't quite have the readership draw or the common familiarity in the public that heroes such as Spider-Man, Batman, Superman, etc., have. However, that doesn't mean that Marvel Studios, the filmmaking wing of the company, feel inclined to give the filmic adaptation of Thor short shrift. The cinematic entry for this character, titled simply Thor, is among the better of the Marvel adaptations of recent years, mixing a good sense of fun, strong acting, and some Shakespearian level drama that makes for an especially entertaining time at the movies.Liberally adapting portions of Thor comic book lore to fit in a more modern comic book film reality, Thor introduces us to a centuries old war between the Asgardians, beings that live for long periods of time and can travel through space from their home realm of Asgard to various other worlds, such as Earth, via the Bi-Frost bridge, and the conflict centric Frost Giants, whom the Asgardians conquered some time back. Odin (Anthony Hopkins), ruler of the Asgardians, is preparing to abdicate his throne to his son, Thor (Chris Hemsworth), but on the eve of Thor's inauguration, agents of the Frost Giants infiltrate Asgard and attempt to steal back a device that is the key to their power, which had been taken by Odin at the end of their long struggle. When Thor disagrees with his father's desire to not to retaliate in order to not disturb the peace that currently exists between the Asgardians and the Frost Giants, he takes matters into his own hands, traveling to the Frost Giant's realm with his brother Loki (Tom Hiddleston), and compatriots Sif (Jaimie Alexander), Volstagg (Ray Stevenson), Hogun (Tadanobu Asano) and Fandral (Josh Dallas) in tow. When the encounter with the Frost Giants ends with tensions re-ignited between the two factions, Odin decides that his son is not prepared to lead his people, and exiles Thor, sans his powers, to Earth.When he arrives on Earth, he is discovered by astrophysicist Jane Foster (Natalie Portman) and her associates Professor Selvig (Stellan Skarsgaard) and Darcy Lewis (Kat Dennings), who are convinced that he isn't a random homeless vagabond that they found in the middle of the desert. Thor must attempt to locate his power hammer, Mjolnir, from the government agents that have captured it, and attempt to reclaim his place in Asgard. However, he finds that, without his super-human abilities, and surrounded by humans, perhaps some of his previous attitudes were incorrect, especially when he connects romantically with Jane. Meanwhile, Loki, who turns out to have some ulterior motives, seizes control of Asgard following the collapse of Odin from strain, and begins to hatch a grand scheme involving the Frost Giants.Thor, much like Iron Man before it, proves that, in the right hands, a comic tale that appears silly on the surface can have hidden depths when properly plumbed. Sure, Thor has elements that, on the face of it, may lead a bit to some audience snickers (Thor's ability to pick himself up and fly and defeat attackers with little effort are a bit cheesy at times), but the creatives behind Thor, including director Kenneth Branagh, manage to develop a story for Thor that deals with elements of tragedy, pathos, selflessness and, perhaps even more surprisingly, involving character development. Thor is more about the lead characters at its core, again akin to Iron Man, than some other comic book films and this draws the audience into its tale.When it was first announced that Kenneth Branagh would be taking the reins of Thor as a director, it seemed something of an unusual fit for someone best known for his cinematic adaptations of the works of Shakespeare, but the final results of Thor bare out that Branagh was just the right man for the job. Considering the larger-than-life origins of the Thor comic, involving beings with the power and appearance of Gods and the various machinations of their story, the material fits fairly well with Branagh's body of work to a great extent. Especially strong is the development of Loki, who proves to be less of a traditional mustache twirling villain, and more of a misguided soul, trapped between revelations he makes about himself and his past and his respect in his father, making him more of a tragic figure than a black and white comic book antagonist.Thor benefits from strong acting from its leads, Hemsworth and Hiddleston. Hemsworth embodies Thor, first as the brash, acting-before- thinking hero, and later as a man faced with the reality that some of his choices and attitudes were not becoming of a king. Hemsworth really makes you empathize with Thor, and gives you a reason to root for the character throughout the film. Hiddleston, working with the somewhat subdued (at first) Loki eventually transforms him from a seeming weak, malleable person into one who's penchant for vengeance and control is revealed in layers, peeling back one by one through the development of the narrative.Thor isn't without its weak points, however. The romance between Thor and Jane Foster is practically and afterthought, rushed into the narrative at light speed and then not given any room to breathe or develop, it plays more as a requirement of adapting the comic story than something that works organically in the film. Portman is fine in the role, but the screenplay doesn't give enough to this relationship for it to be more than a bump in the road of the film's story.Once again, Marvel has managed to take one of their lesser known heroes and make them the subject of an entertaining film version, with energy and depth that is a bit unexpected. May they keep on making comic book films of this caliber.","
            10/10
            "
"Top_Dawg_Critic","19 June 2019","Who knew Thor was the perfect drinking buddy and is domesticated lol? Perfect writing. Perfect directing. Perfect casting. Perfect cinematography. Perfect amount of S/VFX. Perfect score. Perfect comedy/drama/thrills. Etc... 10/10","
            5/10
            "
"sidfargas","18 April 2011","Thor was much much better than I expected. I didn't know if they could pull of the balance between the Norse mythology stuff and the real world Marvel Universe. I should've known better because Marvel knows their characters and knows what we want to see. Spider-Man set a new standard for the superhero film genre back in the day. Iron Man upped the ante. Thor takes the ball and runs with it and places that bar even higher. I look forward to seeing it again and know it will do well enough to be worthy of a sequel because word of mouth is going to be great. Trust me when I say Thor REALLY IS as good as Iron Man and is most worthy to be called one of the greatest adaptations ever.Chris Hemsworth as the Norse god Thor, and Tom Hiddleston as his villainous brother Loki show they have the acting ability and star quality to become mega-marquee names in the future. Marvel found two absolute diamonds in the rough. Both actors make a HUGE impression and are wonderful on screen. You knew Acedemy Award winners Anthony Hopkins and Natalie Portman would bring it but these relative unkowns more than hold their own on screen. I know the script is written mostly for them but they carry it in a big way. From what I've read, Hemsworth and Hiddleston were cast almost a year in advance of filming the story so, they had time to get into shape and do character research. They certain did these long-time Marvel greats proud. Intelligent comic-book popcorn epics are rare and this one is definitely a cut above the usual fare.","
            8/10
            "
"bob the moo","21 September 2011","I had heard a lot of good things about this film before I eventually saw it. I had decided that I wasn't going to go and pay loads of money to sit in noisy cinemas and be bombarded with disappointing blockbusters this summer, but I figured that this had enough good word of mouth to be worth seeing. After watching it I browsed through the user comments here of writers I generally trust and found that most of them had loved it too; so why did I find it to be all a lot of fuss and nonsense that ultimately amounts to very little?I came to Thor with some worries despite the good word of mouth, I never cared for the character generally and he always seemed a little silly to me, with the Nordic god dialogue just making it worse. As a result I guess the script could have been worse because it would have been bogged down in this stuff but it never was, however this is not to say that it worked well. What it does is take us from point A to point B without ever really doing a huge amount of interest. It has enough humour in to stop it being too serious, but not enough to actually be light and fun. It has enough character in it to avoid it feeling wooden, but not enough to make one care. It has enough drama in it to set up the action, but not enough to provide actual tension or a sense of danger. To me it didn't seem to do anything in particular. I was looking for more sport to be made of this silly God once he was on earth but it didn't happen. In particular I was looking for Loki to be a more interesting ""baddie"" since he could have been a tragic, haunted character – but we don't see this outside of his actions.This all came together for me to limit my interest in what was going on. The stuff in the heavens was all too full of mock Shakespearean shouting but without dramatic substance, while the stuff on Earth was too fleeting and lacking fun and entertainment value. For sure the film provides spectacle but again I just found it to be rather hollow as I watched it, enjoying it for the noise but not much else. The cast are varied. Although limited, Hemsworth is well-cast because he has the body and big voice to fill the character. He needed a good opposite number though and in Hiddleston he doesn't have it – he doesn't have the presence needed or the depth of character. Portman has almost nothing to do and it shows in her performance, she is here for the sake of it and you could have digitally removed her from this film and made no difference to it. Ditto Skarsgård– at least Dennings provided some light relief. Hopkins adds a bit of gravitas to proceedings, while Elba has the frame and voice for his character. Like everyone else it surprises me still to think this was directed by Kenneth Branagh, but it is a smart career move for him to show he can do big budget effects movies – if it does nothing else, it shows that.Thor feels like a film that had to be made rather than one that was created on its own merits. Of course, as part of The Avengers, this is true but it is irritating that you feel that way while watching it. It has noise and spectacle for those looking for that, but it lacks too much in the way of character, danger, humour and good old fashioned entertainment. You know when you buy a new product and the first few days it is shiny and great but then, in using it you spot lots of gaps and think ""why didn't they do this?"" and ""why did they not expand this function?"" – well Thor is that product, shiny and noisy but ultimately one is left wondering why the makers didn't do a lot more in some regards and a lot less in others. Not an awful film – but just a bog-standard one with a massive effects budget.","
            7/10
            "
"adrongardner","13 September 2011","Plain and simple - when the humans show up the movie dies a slow death.It's a superhero movie so you know what the plot is. Hero comes to Earth to help humans. They're basically riffing Superman to the Nth degree here. But on to the important stuff...What the heck is Natalie Portman doing in this movie. I mean that in two ways. First why is she even in the movie? Second, what did she do other than stand there and let her hair be blown around by the off screen wind machines? It felt like all of her scenes were filmed in one day and she looks so bored in all of them. Chris Hemsworth was fine as Thor and Hopkins played a good Odin, but it was the human characters that kill this one.At least Branagh threw in Skarsgard for the Swede inside joke. But as usual Stellan Skarsgard is totally wasted. After Insomnia I was just in awe of what the man is truly capable of and here in the states they always use him as a window curtain.I didn't mind the first act all that much, but for a movie about the GOD OF THUNDER, it comes off surprisingly meek.","
            6/10
            "
"theycallmemrglass","20 April 2011","I watched this last night at a preview screening in London.I prayed that Kenneth Branagh would learn from his mistakes with handling a big budget movie, namely his Frankeinstein. Thankfully, I am glad to say he learnt a great deal from those mistakes. Of course, this is no Henry V, this is just pure popcorn entertainment but a thoroughly enjoyable introduction to Thor for the big screen. Chris Hemsworth played the part with a lot of energy, charisma and I have to admit from a bloke's point of view, annoying good looks. Anthony Hopkins added much needed heavyweight presence as Odin but its a role he has quite frankly played a gazillion times but I never tire of it, so I'm not complaining. In a year long span of brilliantly playing vastly different roles from psychotic to swashbuckling heroine, Natalie Portman this time plays the sweet determined scientist girl who falls for the strangely mannered good looking guy. Nothing too taxing for any of them but they do give a re-assuring aura about them.The visuals were quite spectacular, mainly, the sweeping canvas of Asgard. The action scenes were also good though I thought could have been executed better with lesser use of the fast cut edit style that is too often the norm in action film these days.There is plenty of humour when Thor is on Earth but not in a put-off way as there is a suitable contrast of a serious tone with everything set in Asgard. Even though the storyline was somewhat predictable, it was still a riveting one.For those like me, who were concerned about how Thor fits into the established Marvel connected universe set by the Iron Man films need not worry. That is just another thing that Branagh and crew pulls off very well. We can now fully embrace the forthcoming Avengers where a God, a man who transforms into a giant green beast, and a man who flies in a hi tech amour suit can share the same screen. So its all coming together nicely.And make sure you stay for the end credit scenes. In case you did not know of this before, I urge you to go back to the previous films (Iron Man 1 & 2, Incredible Hulk) and watch the end of credit sequences if you haven't already. They tell a separate story strand that will culminate to a certain upcoming Marvel movie. The end credit sequence of Thor is the most fascinating yet as it actually takes a major plot development in the story strand ;) And it was the longest bloody end of credit sequence I've ever seen in any movie! One last thing, the film I saw was in 3d and once again, it practically nearly ruined all the action scenes for me. In the non action scenes, it was pretty useless and just simply made the film much darker.","
            7/10
            "
"claudio_carvalho","25 September 2011","In 965 D.C., in Tornsberg, Norway, the Frost Giants from Jotunheim led by King Laufey (Colm Feore) attack the locals, and the Allfather Odin (Anthony Hopkins) and the warriors of Asgard protect the humans and win the battle against the invaders. They take their source of power and bring it to Asgard and they start an armistice with Jotunheim. When three Frost Giants break in Asgard trying to retrieve their source of power, they are destroyed by the Destroyer. The arrogant Thor (Chris Hemsworth) decides to attack Jotunheim with his stepbrother Loki (Tom Hiddleston) and four Asgardian warriors and disobeys the order of his father Odin. In order to avoid war against Jotunheim, Odin removes the powers of Thor and exiles him on Earth to live among the humans. Odin also throws his hammer Mjölnir to New Mexico and orders that only the one that is worth will get the powerful hammer and achieve Thor's powers. In Puente Antigo, New Mexico, the physician Jane Foster (Natalie Portman) is researching a phenomenon in the desert with her professor Erik Selvig (Stellan Skarsgård) and her mate Darcy Lewis (Kat Dennings). Out of the blue, Thor is hit by Jane's truck and she takes him to the hospital. Thor unsuccessfully tries to retrieve Mjölnir that is protected by agents of the government SHIELD. When the Machiavellian Loki sends the Destroyer to Earth to kill Thor, he needs to retrieve his hammer to save not only the humans, but also his Allfather Odin and Asgard from the evil Loki.""Thor"" is an entertaining adventure based on the character of the comic book published by Marvel Comics. Natalie Portman is usually the synonym of a good movie and she is delightful in the role of a scientist. The plot is funny and the scenes with the human Thor; the Nordic black gatekeeper Heimdall (Idris Elba); and the Vikings and Gods speaking in English are hilarious. The special effects are top-notch and the viewer may bring the popcorn and delight with a pleasant family entertainment. My vote is seven.Title (Brazil): ""Thor""","
            9/10
            "
"dvc5159","6 May 2011","Alright, back when this was into preproduction, I (and so many comic book fans) were surprised when Branagh was slated to direct. Here we have Thor the god of lightning and his mighty hammer, directed by a man who works mostly around William Shakespeare plays.Thankfully, this helps. A lot.Almost every superhero movie (Marvel, lately) focuses on more action instead of character development. Sure, they may look awesome, but you get used to it. Branagh bravely steers away from this predicament and directs the actors with such skill and flair you may mistake this film for yet another Branagh/Shakespeare costume epic.Make no mistake this is still a superhero film, with some nice special effects and a stylish production design for Asgard, but there's a nice human twist to the story - that of dueling brothers, or gods, or god- brothers... you get the idea. Chris Hemsworth looks just about right for the part and shows some charisma as well as the hero. Branagh has assembled an interesting mix of actors - we have the great Anthony Hopkins, the cute Natalie Portman, Stellan Skarsgard, Kat Dennings, Idris Elba and even Rene Russo. Tom Hiddleston however steals the scene as the mischievous brother Loki.Here's another good thing about the movie - the story and acting outweigh the special effects and action sequences. For a superhero film, this is extremely rare. Branagh deserves kudos for the effort, however some parts do not gel in nicely and there's some action bits that are not too well-filmed.All is forgiven though - ""Thor"" is an above-average superhero movie, not extremely exciting, but definitely intriguing. Fans of both comic book films and costume dramas will certainly enjoy this.Two words of caution - one, keep an eye out for some cameos, both during and after the film. Two, for goodness sake do not watch it in 3D. I saw it in normal 2D and that's fine enough by me. I didn't see anything worth watching in 3D in it.Overall rating: 68/100","
            9/10
            "
"AngelHonesty","28 December 2019","Great movie! Has a comic book feel to it. The storyline is very well done! I love how they show Asgard and explain how everything fits into place. The humor is very tasteful, but can be oddly quirky in places. Lots of fun action. The only thing that could have used some improving was the way they filmed the movie. The shakey camera and weird angles are a little annoying, but the rest of the film makes up for this. Very good choice in the cast, could not have picked a better actor for Thor or Loki. Natalie Portman's part isn't the best. She has cheesy lines and her acting doesnt flow right, even though she is a talented actress. She does better with serious parts inatead of light and comical. This movie is very clean and makes a great fun movie for the entire family.","
            1/10
            "
