"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Guardians of the Galaxy Vol. 3","poseyfan","10 May 2023","Guardians of the Galaxy Volume 3 is chaotic, weird and oftentimes ridiculous, but it is also full of heart, emotion and great themes.I must say that it's the best Marvel movie since Endgame. That's not necessarily too hard though. It just needed to surpass No Way Home; which had some amazing high moments, but it was lazy in others. Marvel was in desperate need of a hit, and they've finally got it.Highlights:Every member of the crew got their time to shine. Rocket was definitely the one who stood out though. When he sees his friend die, then wail in pain from grief? That made me bawl. And when the High Evolutionary mocks him? Man. Heavy stuff. He proceeds to rip off his face, but the other two of his friends are shot as well. Thus, Rocket's traumatic pastime is revealed.Chukwudi Iwuji was fantastic as the villain. At certain points he was downright terrifying. I really liked this line: ""There is no God, that's why I took his place."" He was a convincing villain.The moment when Star-lord screams in agony for Rocket to live, is the moment that resonated with me the most. He has lost many people close to him and he can't stand to lose anyone else.Gamora 2 gets a lot of character development and I'm glad she didn't kiss Quill at the end. That would have felt a little cheap.Drax, Mantis, Nebula, Adam Warlock and others also got their own moments as well. I'm surprised nobody died to be honest.One of the only problems I had with the movie was the humor. A lot of the time it was good or passable, but other times it undercut really emotional scenes.I could say a lot more, but this review is already very long.9/10 for me.","
            9/10
            "
"Guardians of the Galaxy Vol. 3","ta-98251","4 May 2023","Having sat through some phase 4 films that failed to inspire... Guardians feels like a breath of fresh air. It's less a run of the mill superhero film and more a out of world space adventure handled with care by James Gunn.At its heart, Guardians of the Galaxy: Volume 3 is a story about family, loss and technology all of which are prominent in today's zeitgeist. These themes sometimes cause you to forget that you are watching a Marvel movie. The movie's backstory is dark but it helps to hammer home the themes and the villain.The universe is full of characters that are both weird (sometimes very weird) and unique when compared to the rest of the MCU. That's mostly a good thing. Despite the movie being dark at times, there is also a lot of humour which fits especially well with the Guardians of the Galaxy franchise when compared to other Marvel franchises. The action and of course the music was up to level we now expect from Guardians of the Galaxy movies. This is one of the better Post Endgame movies and a fitting end to the trilogy.","
            8/10
            "
"Guardians of the Galaxy Vol. 3","jace_the_film_guy","8 May 2023","Up to this point, there has been one trilogy in the MCU that has been excellent from start to finish. It's time to add another one to that list. ""Guardians of the Galaxy Vol. 3"" is a more than fitting conclusion to the narrative of these characters. James Gunn (writer/director) took his time creating connections and depth to each of the individual story-arcs.While recent films in the MCU have felt like ""filler episodes"" whose purpose is solely to set up a future entry in the franchise, this film stands on its own. The story is isolated, which gives the illusion of finality. In more ways than one, ""Guardians 3"" is a unique entry in an otherwise convoluted extended film universe.The filmmakers were not afraid to take their time telling this story, which caused the film to drag at times. Though it felt lengthy at 2 hours and 30 minutes, I do not know what they could have cut out. In typical superhero movie fashion, the climactic battle had plenty of explosions to go around.Between the villains and the bickering within the Guardians, there was an excessive amount of yelling in this movie. A headache was imminent, as much of the third act was screaming match after screaming match. While these scenes were emotionally heavy, the yelling distracted a bit from the strong acting.""Guardians of the Galaxy Vol. 3"" is one of the better entries in the Marvel Cinematic Universe since ""Avengers: Endgame"". Though more chaotic than the other two films in the trilogy, it is a beautiful conclusion to the Guardians' story. Boasting stellar set pieces, an excellent soundtrack and perfect chemistry between cast members, this is a film that I am eager to re-watch.Best Character: Drax
Best Quote: ""She is to us.""
Best Scene: Infiltrating Orgocorp
Best Piece of Score: ""I Love You Guys""","
            9/10
            "
"Guardians of the Galaxy Vol. 3","gcsman","7 May 2023","""There is no God. That's why I stepped in."" I have to admit, this is one of THE best lines ever spoken by a supervillain - it concisely captures their whole reason for being. (Seems like that would have been a perfect thing for Thanos to say.) Oddly though, for once there's no real backstory for the High Evolutionary, as there usually is for Marvel villains, but that might have been just too much material. Quite appropriately, all the attention is really on our scruffy, argumentative, and lovable heros, the Guardians.I liked that all of them, this time around, get their well deserved fair share of screen time, and if doing that means sitting through a pretty long movie, then fine. Mantis and Nebula in particular are better characters than they were before, Quill and Gamora and Drax are as good as ever, and the choice to make Rocket and his very extended backstory the mainspring of the plot was clever -- and by the end, it carried real weight. Rocket is now elevated to a tragic, substantial figure at practically the same level as Spider-Man, and that's saying a lot.The whole Guardians series owes director James Gunn bigtime, and it's a shame to see him move on (but I'm looking forward to seeing what he'll be able to do over at DC). He set in motion a group of characters that really worked, and this 3rd instalment builds very effectively on top of its predecessors. Going in to the theater I knew what I expected out of them, but we got more than that. That's a big compliment.At the same time, what was done with Warlock and High Evolutionary was kind of odd, in the end. I was disappointed that Warlock especially was kind of trivialized. He's capable of becoming a major character if they would just follow the path set out in the original comics. That one criticism aside, this is still one of the MCU's best and we can thank them for letting James Gunn do what he had in mind.","
            9/10
            "
"Guardians of the Galaxy Vol. 3","AfricanBro","3 May 2023","Firstly Adam warlock's intro was marvelous, which made me hate Kang's depiction in Quantumania even more because Adam seems way more hardcore than Kang was shown(shown, not talked about). Same with the high evolutionary, they delivered on their reputation.Now the movie as a whole, I loved even more. It's lively and emotional, alternates between the two and some times blends them. Serving as a farewell to a beloved band of misfits who became family, and I don't recall ever feeling this connected to their characters before. Rocket takes the spotlight but everybody else is great as well, both antagonist and protagonist.Second half is chaotic, but I loved it. The movie in general is very emotional but packed with great action as well, with most of it in the last third of the movie. Adam warlock felt like a waste, he's portrayed as a really strong character yet felt like he's in the sidelines for the whole movie; just popping up here and there then disappears. He deserved a better character arc after his introduction, but hopefully we'll be seeing more of him. I thought the third act was predictable though, especially his and mantis's role in it, like ""oh mantis/warlock would be very convenient for this scenario"" and a few moments later he/she pops up.I think the best quality is that it's one of the few superhero movies I felt invested in the characters in a while. The movie focuses on the emotional aspect of it more instead of the plot and looking cool, even though that's a prevalent theme of the movie. I wasn't expecting it to enjoy it as much despite looking forward to it, thought it'd be another case of superhero burnout. It's sad and well made farewell to the guardians of the galaxy... as we know them. Oh and I forgot to mention it's pretty funny.","
            8/10
            "
"Guardians of the Galaxy Vol. 3","breneff","3 May 2023","This. This is what I've wanted. Yeah some of the jokes are a bit too silly and the tone is a bit confusing at times. But the end result for me is probably the most heartfelt emotional reaction from me to a comic book movie since Endgame. It's not a perfect film, I am conflicted with what the did with Adam Warlock. And the main villain is a little hammy. But the personal relationship between the guardians and where they take them is dark, heartbreaking, and also beautiful. This is also the best performance from Chris Pratt probably his entire time playing this character. But the person who steals the show is Rocket. I don't know how but they need to change the rules degree voice acting performances can be nominated for Oscars because it was incredible. This is the most emotionally satisfying experience I've had with the MCU in a very long time. And every critic who is saying that the movie is too schmaltzy or sappy... doesn't understand how much these characters not only mean to people but also James Gunn. This isn't just a final chapter of a story, it's a goodbye to a set of characters and films that changed the landscape of not only the tone and vibe of superhero movies but also changed the fact that weird unknown characters who have strange stories can be highlighted in these films.","
            9/10
            "
"Guardians of the Galaxy Vol. 3","josephbannister","4 May 2023","It all leads back to where we once started off as all great trilogies have indicated from the past. But GOTG surpasses expectations with what is nothing short of phenomenal performances by the cast and truly well written and does not shy away from what could only be understood from what requires a sense of maturity to understand. Rockets back story alone is on occasion dark and incredibly sad it had me in tears at a few instances during the film. Honestly I did not expect this, James Gunn yet again provides an absolutely beautiful piece of cinematography and I have to say I really hope in the future they dive back into the story of the colony . With Adam warlock finally in the MCU it's most likely there will be some cameos. But it does deliver in the traditional guardians humor but this film is meant about more for the mature audience of marvel. Trust me this is a great film.","
            10/10
            "
"Guardians of the Galaxy Vol. 3","georgewhittingham1","3 May 2023","A near perfect end to an incredible Marvel trilogy.Guardians of the Galaxy 3 is one of the best Marvel movies ever produced, and on par if not succeeding the first installment. (I personally didn't think number 2 was good at all)The humour is brilliant, the storyline perfectly paced, each character gets their time on screen, the world building was wonderful, the action fantastic, and the CGI far better than some of the more recent Marvel additions. As always, the music was excellent.This entry focuses heavily on our beloved Rocket, and being the final piece of the Guardians Galaxy trilogy, pulls a lot of character arcs almost full circle.Our bad guy, an actor I'm unfamilar with, was the perfect villain, and from a quick search on imdb he is finally being recognised and is cast in a number of popular TV shows. This is also a tear jerker of a movie, so don't be surprised if you find yourself weeping throughout several points of the film.You won't be dissapointed with this final addition to the Guardians, but you may feel a little sad that it has now come to an end.","
            9/10
            "
"Guardians of the Galaxy Vol. 3","coasteraddict-16796","10 May 2023","I'm not one to cry at movies often, but this one broke me. Four is merely an estimate. I spent the entire last hour of the film in and out of tears. Guardians of the Galaxy Vol. 3 is an unexpected masterpiece, and a work of art that absolutely broke me.From the soundtrack, to the writing, to the characters, to the use of flashbacks, this movie is about as close to perfection as it gets. Having already established all of the characters, it managed to be heart-wrenching all the way through. This movie leaves a bittersweet taste in your mouth, and with so much to think about. It manages to make 2 and 1/2 hours feel ten times as short. I never expected to fall in love with this movie, but it got to me in such a visceral way that I'll never forget the experience of seeing it.The best marvel film, ever. 10/10.","
            10/10
            "
"Guardians of the Galaxy Vol. 3","cthirlby","3 May 2023","This is probably my favourite of the Guardians Of The Galaxy movies. James Gunn toned it down in the comedy department with this one to give us a more complex, intriguing and serious story. The film kept all the charm of the crew in it and still had the unique style that the guardians movies have. Mostly to do with the music, always look forward to music in these movies and the soundtrack was fantastic! Emotional and energetic! I loved it! It managed to give us a really emotional story for Rocket whilst having time for everyone else in the film, it was very well written to do that with so many cast members involved. The Rocket storyline is absolutely tragic, and it was really upsetting to hear and watch, even made me cry. The things they did and hearing him cry and squeal as he was ripped apart was really sad and to have what happened to his friends too was the bit that made me cry, the pain of rocket is really heartbreaking as all he wanted to do was free his friends and live with them. There was a lot of shock in the film as things happened that I wouldn't expect and that was great too. Drax who we have had glimpses of has been fully fleshed out in this one with talking about his daughter again which is a big part of the character and him being told he was made to be a dad. Star Lord got more of his Earth story being told and going back to see his grandpa was really cool. Everyone else was really cool too and more Cosmo was awesome! Adam Warlock was good and I can't wait to see more of him but he was a side character for now. It was quite dark for a marvel film with bloody scenes and even the F word was in there! Really enjoyed a more gritty tone in marvel. It was an emotional journey with our characters for one last time and it was one that was awesome but made me cry. Can't wait to see the new guardians of the galaxy at play as they have really cool characters in that roster. Fantastic movie! Loved it to bits!","
            10/10
            "
